model,scenario_id,scs_mean,scs_std,sdr_mean,sdr_std,oai_mean,oai_std,tpt_mean,tpt_std,ios_mean,ios_std,ahe_mean,ahe_std
bart,A,0.8,0.3428033318008816,0.01250000000000001,0.0678826255197722,,,11.0,0.0,0.313027357452998,0.16199370751821354,0.0,0.0
bart,B,0.9333333333333333,0.13445852909056288,0.025000000000000012,0.050421948408961074,,,,,0.159782130888001,0.20237247254286675,0.0,0.0
bart,C,0.9,0.21523866663733826,0.012500000000000015,0.0378164613067208,0.0,0.0,,,0.19612131623881782,0.15466215880532716,0.0,0.0
bart,D,0.5666666666666667,0.4265218680850986,-0.02499999999999999,0.05042194840896109,,,11.0,0.0,0.25307930049491917,0.0934844291427422,0.0,0.0
bart,E,0.4,0.5026246899500346,0.00909090909090908,0.011423288407955319,,,,,0.23675224918154064,0.15472609653740302,0.0,0.0
pegasus,A,0.9333333333333333,0.20341905108624314,-0.012500000000000022,0.038141072078670575,,,,,0.027330526778454666,0.030210079841567372,0.0,0.0
pegasus,B,0.8333333333333334,0.31257183082499196,0.037499999999999964,0.0814073410228696,,,,,0.056536024704396594,0.047498201769743065,0.0,0.0
pegasus,C,1.0,0.0,-2.4526829576679965e-17,0.0,0.0,0.0,,,0.077913195263952,0.11490217156301064,0.0,0.0
pegasus,D,0.7666666666666667,0.4025778999364488,-0.012500000000000008,0.03814107207867055,,,,,0.02526696546564905,0.0313387552686064,0.0,0.0
pegasus,E,0.7,0.48304589153964794,,,,,,,0.01889887581423986,0.03668208588880235,0.0,0.0
t5,A,0.9333333333333333,0.1356127007241621,-0.012500000000000016,0.03814107207867055,,,,,0.154652245691813,0.3169625800613152,0.0,0.0
t5,B,0.9333333333333333,0.2034190510862431,-0.012500000000000022,0.038141072078670575,,,,,0.15138418964873285,0.23865335975195964,0.0,0.0
t5,C,0.9666666666666667,0.10170952554312157,-2.9782578771682814e-17,1.6036792709921488e-17,0.0,0.0,,,0.09605053510624426,0.17947929722722078,0.0,0.0
t5,D,1.0,0.0,-2.4526829576679965e-17,0.0,,,,,0.186017801441045,0.19088811160933614,0.0,0.0
t5,E,0.9,0.31622776601683794,,,,,,,0.08772220490865393,0.15065717397991216,0.0,0.0
